"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"再表2014/208038","特願2015-523849","2014/06/16","2014/12/31","二酸化炭素分離回収システム及び方法","川崎重工業株式会社","B01D53/14,100,B01D53/81,C01B31/20@B,B01D53/62,B01D53/83,B01D53/96,C01B32/50","(57)【要約】
  二酸化炭素分離回収システムが、吸着材で被処理ガス<BR>中の二酸化炭素を吸着し、二酸化炭素が除去された被処<BR>理ガスを排出し、二酸化炭素を吸着した吸着材を排出す<BR>る吸着塔２と、吸着塔２から排出された吸着材を受容し<BR>、該吸着材に脱着用水蒸気を凝縮させることにより吸着<BR>材から二酸化炭素を脱着させた後、吸着材を排出する再<BR>生塔３と、再生塔３から排出された吸着材を受容し、乾<BR>燥用ガスで吸着材に含まれる凝縮水を水蒸気として蒸発<BR>させることにより、含水率が限界含水率又はそれ以上の<BR>所定値となるまで乾燥した吸着材を排出する乾燥塔４と<BR>を備える。
","WO2014/208038","","特許6427098","拒絶2017-013809","再表2014/208038","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2014-208038/C3902B6D99F996C752E3A7463639428C1A0559E5582C3AB392AECA3DFE3AE45A/19/ja"
"特表2016-529087","特願2016-518558","2014/05/19","2014/12/18","炭化水素系ガスの脱炭酸法","イエフペ　エネルジ　ヌヴェル","B01D53/14,220,C01B31/20@B,C10L3/10,B01D53/14,210,C01B32/50","(57)【要約】
溶媒で洗浄することによる、炭化水素系ガス、例えば天<BR>然ガスを脱炭酸する方法。前記ガスは、ＣＯ２減少ガス<BR>及びＣＯ２担持吸収剤溶液を得るように、吸収剤溶液と<BR>接触させられる。次いで、ＣＯ２担持吸収剤溶液は、炭<BR>化水素含有ガス画分を放出し、また炭化水素減少吸収剤<BR>溶液を得るように、所定の圧力及び温度に加熱および膨<BR>張させられ、前記圧力及び温度は、前記ガス画分が、前<BR>記ＣＯ２担持吸収剤溶液に含有された炭化水素の少なく<BR>とも５０％と、前記ＣＯ２担持吸収剤溶液に含有された<BR>ＣＯ２の多くとも３５％とを含むように選択される。最<BR>後に、炭化水素減少吸収剤溶液は、ＣＯ２リッチガス流<BR>出物を放出し、また再生された吸収剤溶液を得るように<BR>、熱的に再生される。
","特表2016-529087","","特許6445541","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-529087/42CE7880FC854EFB7D5FC0F7B47399280F24A327C608146EBFBFD0649A3DEE4C/11/ja"
"特表2016-530983","特願2016-519475","2014/06/13","2014/12/18","固体電解質型燃料電池を備える発電所における持続可能なエネルギー生成のための方法","ゼグ　パワー　アーエス","B01D53/62,F01K23/10@U,F02C6/18@A,H01M8/12,H01M8/04@Z,F01K27/02@D,F02C6/00@E,B01D53/83,F01K23/02@Z,F02C6/00@A,B01D53/96,B01D53/81,H01M8/00@Z,H01M8/12,101","(57)【要約】
  固体電解質型燃料電池（ＳＯＦＣ）を備えるプラント<BR>における持続可能なエネルギー生成のための方法であっ<BR>て、方法において発熱炭素捕捉ステップで吸着剤として<BR>酸化カルシウムが使用される。酸化カルシウムが炭素捕<BR>捉ステップで炭酸カルシウムに変換され、続いてＳＯＦ<BR>Ｃによって加熱される吸熱再生ステップで酸化カルシウ<BR>ムに変換される。炭素捕捉ステップは他のプロセスから<BR>の高温ガスの存在下で行われ、高温ガスの温度を上昇さ<BR>せて前記他のプロセスの費用効率を改善する。
","特表2016-530983","","","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-530983/6206FF54EF8900CB4A081A653FF338F6B907CA2E8F827576056D85C1A35F53D1/11/ja"
"特表2016-513977","特願2016-503234","2014/03/14","2014/12/18","化学合成独立栄養細菌を利用した二酸化炭素の変換システムおよび方法","ザ　ユニバーシティ　オブ　ワイオミング　リサーチ　コーポレーション","C12P39/00,C12M1/00@D,B01D53/62,B01D53/14,200,C07G99/00@C,C12P7/62,B01D53/84,C12P3/00@Z,B01D53/96","(57)【要約】
二酸化炭素放出物を、バイオ燃料、肥料、原材料などの種々の製品（２１）のために使用<BR>できるバイオマス（６）に転換することができる、複数の化学合成独立栄養細菌（５）を<BR>含む少なくとも１つの処理リアクター（４）において、供給源（２）からの二酸化炭素放<BR>出物（１）を処理することができるクリーン燃料処理システムを達成するための方法およ<BR>びシステム。酸化された窒素種（１３）を還元する細菌を使用して、還元された窒素化合<BR>物を化学合成独立栄養細菌（５）に供給することができる。
","特表2016-513977","","","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-513977/157A6766C723616BE70E296166F797B068FF659A6DA6E8993095EFFE6BF04DFB/11/ja"
"特開2014-237096","特願2013-121486","2013/06/10","2014/12/18","不純物除去システム","株式会社ＩＨＩ","B01D53/34,125@A,B01D53/34,130@D,B01D53/34,134@B,B01D53/34,135@Z,B01D53/34,136@A,C01B31/20@C,B01D53/50,200,B01D53/56,200,B01D53/62,B01D53/64,100,B01D53/68,120,B01D53/75,B01D53/78,B01D53/79,C01B32/50,B01D53/50,B01D53/56,B01D53/77,B01D53/18,C01B31/20","(57)【要約】
【課題】外部から水を供給することなしにアルカリ水溶<BR>液を製造して供給できるようにする。
【解決手段】冷却器５ａからのドレンＤ１を所定量貯留<BR>するドレンタンク１０と、タンク１０のドレンの一部を<BR>取り込んで所定量貯留する水溶液調整タンク１５と、固<BR>形アルカリ剤１７を供給してアルカリ水溶液１９を製造<BR>する固形アルカリ剤供給機１８と、供給機１８を制御し<BR>てアルカリ水溶液のアルカリ濃度を調節するアルカリ濃<BR>度制御器２３と、アルカリ水溶液を冷却器５ａの排ガス<BR>入口側に供給するポンプ２４とを有するアルカリ水溶液<BR>供給装置９と、後段の冷却器５ｃ下流側に備えた不純物<BR>検出器２７と、タンク１０のドレンのｐＨ検出値を得る<BR>ドレンｐＨ検出器２８と、不純物検出値２７ａに基づい<BR>て、ｐＨ検出値２８ａが設定値になるように、冷却器５<BR>ａの排ガス入口側に供給するアルカリ供給量を制御する<BR>供給制御器２９を有するアルカリ供給制御装置２６とを<BR>備える。
【選択図】図１
","特開2014-237096","","特許6107443","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2014-237096/3F9A9D104C512B31F53565D9E99F54A43919AF0F9032E4A7AF4D6A05733C5103/11/ja"
"特表2016-524529","特願2016-516442","2014/05/27","2014/12/11","減圧及び相分離を利用して顕熱回収効率を改善させた二酸化炭素分離装置","ケーイーピーシーオー　エンジニアリング　アンド　コンストラクション　カンパニー，インク．,韓國電力技術株式會社","B01D53/62,B01D53/14,200,C01B31/20@B,B01D53/78,B01D53/14,220,C01B32/50,B01D53/96","(57)【要約】
  二酸化炭素と吸収剤とを反応させる吸収塔；二酸化炭<BR>素リッチ吸収剤が移動する第１配管；第１配管に設けら<BR>れ、二酸化炭素リッチ吸収剤の相がガス及び液体に分離<BR>される減圧及び相分離部；ガス状及び液状の二酸化炭素<BR>リッチ吸収剤が流入され、二酸化炭素リッチ吸収剤から<BR>二酸化炭素を分離する脱去塔；二酸化炭素が分離された<BR>リーン吸収剤が移動するように、脱去塔と減圧及び相分<BR>離部とを連結する第２配管；脱去塔に、二酸化炭素リッ<BR>チ吸収剤から二酸化炭素が分離されるように熱を提供す<BR>る再熱器；を含み、リーン吸収剤が、減圧及び相分離部<BR>に流入され、二酸化炭素リッチ吸収剤は、リーン吸収剤<BR>の熱によって、ガスと液体とに相分離された後、脱去塔<BR>に流入することを特徴とする。
","特表2016-524529","","特許6125722","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2016-524529/2650688A45A1B4E81B46EC4E543A76F52085EA16B1884B0489BBBB2CBE0BED91/11/ja"
"特開2014-227553","特願2014-107132","2014/05/23","2014/12/08","硫黄回収器からの硫黄含有の廃ガスを処理するための方法及び装置","リンデ　アクチエンゲゼルシャフト","B01D53/14,102,B01D53/14,103,B01D53/18@C,B01D53/18@D,B01D53/18@F,B01D53/18@G,B01D53/18@E,B01D53/34,122@Z,C01B17/05@G,C10K1/14,B01D53/14,210,B01D53/14,220,B01D53/18,130,B01D53/18,140,B01D53/18,150,B01D53/18,160,B01D53/18,170,B01D53/50,B01D53/75,B01D53/78,B01D53/79,B01D53/96","(57)【要約】
【課題】先行技術によるよりも経済的に実施することが<BR>できる硫黄の回収方法を提供すること
【解決手段】スクラビング部（Ｗ）及び再生部（Ｒ）と<BR>を備えた酸性ガススクラバー（Ｓ）中で、合成粗製ガス<BR>（２）から、循環する洗浄剤（３）を用いて硫黄成分及<BR>び二酸化炭素を選択的に分離し、負荷された洗浄剤の再<BR>生の際に生じる硫黄含有のガス画分（８）を硫黄回収器<BR>（Ｇ）に供給し、前記硫黄回収器（Ｇ）で二酸化炭素並<BR>びに硫黄成分を含む廃ガス（１０）が生じ、前記廃ガス<BR>（１０）を水素化し（Ｈ）、引き続きガススクラバー（<BR>Ｚ）に供し、前記水素化された廃ガス（１２）は、処理<BR>されるべき合成粗製ガス（２）とは無関係にスクラビン<BR>グされ、その際、前記酸性ガススクラバー（Ｓ）の洗浄<BR>剤循環路から取り出された洗浄剤（１３）を、硫黄成分<BR>のスクラビングによる分離のために使用することを特徴<BR>とする、硫黄（９）の回収方法
【選択図】図１
","特開2014-227553","","","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2014-227553/A12FE941A705AF21206F237936DFA5D8208408687E0863FD6DF5F21BDF98C649/11/ja"
"特開2014-226622","特願2013-109487","2013/05/24","2014/12/08","二酸化炭素回収システム","三菱日立パワーシステムズ株式会社","B01D53/14@C,B01D53/34,125@A,B01D53/34,130@D,B01D53/34,135@Z,B01D53/36,101@A,C01B31/20@B,B01D53/14,200,B01D53/50,200,B01D53/56,200,B01D53/62,B01D53/73,B01D53/73,500,B01D53/75,B01D53/76,B01D53/78,B01D53/86,222,B01D53/90,B01D53/96,C01B32/50","(57)【要約】
【課題】二酸化炭素吸収装置の吸収塔に供給する排ガス<BR>中のＮＯとＮＯ２の双方を低減して、排ガス中のＮＯｘ<BR>と吸収液中のアミンとの反応生成物の生成による吸収液<BR>の劣化を抑制する二酸化炭素回収システムを提供する。
【解決手段】燃焼設備で燃焼した排ガスを燃焼設備から<BR>流下させる排ガス流路１１から分岐して配設された分岐<BR>排ガス流路１２に設置され、前記排ガスに含まれたＣＯ<BR>２を回収する二酸化炭システムは、分岐排ガス流路１２<BR>に設置され、排ガス中のＮＯｘを処理するＮＯｘ処理装<BR>置３０と、前記ＮＯｘ処理装置３０の下流側となる分岐<BR>排ガス流路１２に設置され、排ガス中のＣＯ２を含有し<BR>た排ガスと吸収液とを気液接触させて排ガス中のＣＯ２<BR>を吸収液に吸収させる吸収塔２１を有して排ガス中のＣ<BR>Ｏ２を処理するＣＯ２化学吸収装置２０を備えて構成し<BR>た。
【選択図】図１
","特開2014-226622","","","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2014-226622/2E445AFB9678D994DA2DC46063E17C9DB05C62D01B9BDEC8685DCAFBE3A1B61D/11/ja"
"特開2014-226583","特願2013-106435","2013/05/20","2014/12/08","二酸化炭素分離回収装置及びその運転方法","株式会社東芝","B01D53/14,103,B01D53/34,135@Z,B01D53/34,C01B31/20@B,F23J15/00@Z,F28D7/10@Z,F28D9/00,B01D53/14,220,B01D53/62,B01D53/75,B01D53/78,B01D53/96,C01B32/50","(57)【要約】
【課題】再生熱交換器における回収熱量を増大させ、か<BR>つ安定的に運転を行う。
【解決手段】本実施形態によれば、二酸化炭素分離回収<BR>装置は、吸収塔と、再生塔と、再生塔から排出されるリ<BR>ーン液を用いて吸収塔から排出されるリッチ液を加熱す<BR>る第１及び第２再生熱交換器と、を備える。第１再生熱<BR>交換器は、プレート型熱交換器であり、吸収塔から排出<BR>されたリッチ液を、第２再生熱交換器から排出されたリ<BR>ーン液を用いて加熱し、液相のリッチ液を排出する。第<BR>２再生熱交換器は、シェルアンドチューブ型熱交換器で<BR>あり、第１再生熱交換器から排出された液相のリッチ液<BR>を、再生塔から排出されたリーン液を用いて加熱し、リ<BR>ッチ液から水蒸気及び二酸化炭素ガスを発生させる。第<BR>１再生熱交換器から排出されたリーン液が吸収塔に供給<BR>され、第２再生熱交換器から排出されたリッチ液、水蒸<BR>気及び二酸化炭素ガスが再生塔に供給される。
【選択図】図１
","特開2014-226583","","特許6157925","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2014-226583/2AE5E2B408FE0C7F71F4EF09F520A011D6C740FE52E05EE47426AA8181E15F2A/11/ja"
"再表2014/192381","特願2015-519708","2014/03/19","2014/12/04","ＣＯ２回収装置及びＣＯ２回収方法","関西電力株式会社","B01D53/14,220,B01D53/62,C01B31/20@B,B01D53/78,B01D53/14,210,B01D53/96,C01B32/50","(57)【要約】
１００℃以下の低品位排熱のみを用いて、ＣＯ２を回収<BR>可能なＣＯ２回収装置を提供することを課題とする。塩<BR>基性水溶液にＣＯ２を吸収させる吸収塔と、ＣＯ２が吸<BR>収された塩基性水溶液を、１００℃以下の熱媒体を用い<BR>て加熱し、ＣＯ２を脱離させる再生器とを備える。
","WO2014/192381","","特許6147339","","再表2014/192381","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2014-192381/8142B4428EB297E7266B67F71C203F40FAB3F4143700ABDFBE75BE8F9C33549E/19/ja"
