"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特表2009-539595","特願2009-514794","2007/06/13","2007/12/21","煙道ガスからの二酸化炭素の除去","ビーエーエスエフ　ソシエタス・ヨーロピア","B01D53/14,102,B01D53/14@C,B01D53/34,135@Z,B01D53/14,200,B01D53/14,210,B01D53/62,B01D53/78,B01D53/79,B01D53/96","(57)【要約】
  （Ａ）脂肪族第三級アルカノールアミンと、（Ｂ）一<BR>般式Ｒ1－ＮＨ－Ｒ2－ＮＨ2［式中、Ｒ1はＣ1～Ｃ6のア<BR>ルキルを表し、かつＲ2はＣ2～Ｃ6のアルキレンを表す<BR>］の活性剤との水溶液を含む液体の吸収剤と、前記ガス<BR>流を接触させる、二酸化炭素の分圧が２００ｍｂａｒ未<BR>満のガス流、とりわけ煙道ガスから二酸化炭素を除去す<BR>るための方法が記載されており、この際ＡとＢの濃度の<BR>合計は２．５～７ｍｏｌ／ｌであり、Ｂ：Ａのモル比が<BR>１：３～１．５：１である。この活性剤は例えば、３－<BR>メチルアミノプロピルアミン、脂肪族第三級アミンであ<BR>るメチルジエタノールアミン、メチルジイソプロパノー<BR>ルアミン、またはｎ－ブチルジエタノールアミンである<BR>。本方法は二酸化炭素の充分な除去を可能にし、かつ吸<BR>収剤の再生は比較的僅少なエネルギー消費によって可能<BR>である。
","特表2009-539595","","特許4909408","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2009-539595/2AB9506C55D4BEFB50FE4779B9FDBED742E0448150CCBE45F029212EB2C85500/11/ja"
"特表2009-539600","特願2009-515288","2006/11/02","2007/12/21","廃タイヤの再資源化システム","アドバンスト　コントロールズ　アンド　エンジニアリングス．　コーポレイション,チョン　ヨン　ミン","B01D53/34,120@A,B01D53/34,120@Z,B01D53/34,125@C,B01D53/34,135@Z,B09B3/00,302@B,B09B3/00,303@A,B09B3/00@Z,C08J11/12,F23G5/027@Z,B01D53/46,B01D53/50,230,B01D53/62,B01D53/75,B01D53/81,B01D53/82,B09B3/35,B09B3/40,B09B101:80","(57)【要約】
【課題】本明細書に開示されているのは、産業廃棄物で<BR>ある廃タイヤの再資源化システムであり、環境汚染を防<BR>止し、かつ産業資材の再資源化を促進するためのシステ<BR>ムである。
【解決手段】前記廃タイヤ再資源化システムに含まれる<BR>のは、一酸化炭素（ＣＯ）ガスまたは窒素（Ｎ）ガスが<BR>キャリアガスとして循環供給される熱分解反応器１を利<BR>用して廃タイヤを熱分解するための熱分解装置と、前記<BR>熱分解反応器１によって熱分解された分解残留物を粉砕<BR>して、その分解残留物を炭素と鉄鉱物に分離するための<BR>分解残留物処理装置と、前記熱分解反応器１から排出さ<BR>れた排ガスを冷却濃縮して、そのガスから重油を回収す<BR>るための油回収装置と、前記分解残留物から分離された<BR>炭素の焼却時に生成される高温の排ガスを利用して熱源<BR>を前記循環キャリアガスに供給し、蒸気タービンを作動<BR>させるための炭素処理装置と電気と冷水を生成させる吸<BR>収冷凍機１４と、前記炭素処理装置から排出された排ガ<BR>スを清澄して、その清澄ガスを大気中に放出し、前記排<BR>ガスから一酸化炭素（ＣＯ）ガスまたは窒素（Ｎ）ガス
","特表2009-539600","","特許4717139","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2009-539600/985502EFC45D591371BFF50B21E546B67393FB47A49A45D6D8785723404CC8C1/11/ja"
"特開2007-325996","特願2006-157584","2006/06/06","2007/12/20","吸収液、ＣＯ２の除去装置及び方法","三菱重工業株式会社,関西電力株式会社","B01D53/34,127@B,B01D53/34,135@Z,B01D53/34,B01D53/52,220,B01D53/62,B01D53/78,B01D53/79,B01D53/96","(57)【要約】
【課題】ガス中に含まれるＣＯ2又はＨ2Ｓ又はその双方の除去を、コンパクトでかつ省エ<BR>ネルギーな回収装置で除去できる、吸収液、 吸収液を用いたＣＯ2又はＨ2Ｓ又はその双<BR>方の除去装置及び方法を提供する。
【解決手段】本発明にかかる吸収液は、ガス中のＣＯ2又はＨ2Ｓ又はその双方を吸収する<BR>吸収液であって、環内に窒素を１つ有する環状アミン物であり、従来のアルカノールアミ<BR>ンに較べてＣＯ2の吸収性能が向上するので、各種ボイラ等のプラント設備から排出され<BR>るガスからのＣＯ2 （二酸化炭素）又はＨ2Ｓ（硫化水素）の除去・回収に好適に用いら<BR>れる。
【選択図】        なし
","特開2007-325996","","特許5230080","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2007-325996/3D36FE580AE4E261E214E87493A93B054980A0ACB5F56E5413FD494CA530E7AA/11/ja"
"特表2009-537299","特願2009-510431","2007/05/11","2007/11/29","再生のためのエネルギー必要量が低減された、二酸化炭素吸収剤および気体流から二酸化炭素を除去するための方法","ビーエーエスエフ　ソシエタス・ヨーロピア","B01D53/14,102,B01D53/14,103,B01D53/34,135@Z,C01B31/20@Z,B01D53/14,210,B01D53/14,220,B01D53/62,B01D53/78,B01D53/79,B01D53/96,C01B32/50","(57)【要約】
  少なくとも１のアミン、および少なくとも１のアミノ<BR>カルボン酸および／またはアミノスルホン酸の水溶液を<BR>含む、気体流から二酸化炭素を除去するための吸収剤を<BR>記載する。アミノカルボン酸もしくはアミノスルホン酸<BR>を併用することによって、吸収剤を再生するために必要<BR>とされるエネルギーが低減する。
","特表2009-537299","","特許5086339","拒絶2012-007474","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2009-537299/6B8D20FF451B174894464C95977B913848FC48582331ABDCEF9C60D32C1357CE/11/ja"
"特表2009-537302","特願2009-510446","2007/05/15","2007/11/29","炭化水素および酸素の共吸収を低減させた、流体流からの酸性のガスの除去","ビーエーエスエフ　ソシエタス・ヨーロピア","B01D53/14,102,B01D53/14,B01D53/34,116@D,B01D53/34,120@C,B01D53/34,124@Z,B01D53/34,135@Z,B01D53/14,210,B01D53/38,120,B01D53/50,100,B01D53/52,B01D53/58,B01D53/62,B01D53/78,B01D53/96","(57)【要約】
  炭化水素含有流体流または酸素含有流体流からの酸性<BR>のガスの除去法であって、その際、流体流を、無機塩基<BR>性塩を本質的に含まずかつ（ｉ）少なくとも１つのアミ<BR>ンおよび（ｉｉ）アミノカルボン酸および／またはアミ<BR>ノスルホン酸の少なくとも１つの金属塩を包含する水溶<BR>液と接触させる、炭化水素含有流体流または酸素含有流<BR>体流からの酸性のガスの除去法。アミノカルボン酸およ<BR>び／またはアミノスルホン酸塩の併用により、酸性のガ<BR>スが吸収される吸収速度を本質的に損なわずに；酸性の<BR>ガス用の溶液の吸収能を本質的に減少させずにかつ再生<BR>に必要とされるエネルギー需要量を本質的に高めずに、<BR>炭化水素もしくは酸素の共吸収が減少させられる。
","特表2009-537302","","特許4971433","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2009-537302/E2F957B1E988667EC73BF6A492A1AC5D7440B81DF23090AF0B943C9E02DD4D22/11/ja"
"特表2009-537294","特願2009-510322","2007/05/09","2007/11/29","塩素と二酸化炭素を含有するガスから塩素を吸収する方法","バイエル・マテリアルサイエンス・アクチェンゲゼルシャフト","B01D53/14@C,B01D53/14,102,B01D53/34,134@B,C01B7/01@A,B01D53/14,200,B01D53/14,210,B01D53/68,120,B01D53/78,B01D53/79","(57)【要約】
本発明は、塩素と二酸化炭素を含むガスから塩素を吸収<BR>する方法に関し、特に、大量の二酸化炭素を含む排気ガ<BR>ス流から少量の塩素を洗い出す方法であって、洗浄した<BR>排ガスを直接大気中に排出することができる方法に関す<BR>る。
","特表2009-537294","","","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2009-537294/401BA0902E38944D55EFD25069C269E9E1945C7A8DDACF00A04AD5BA75D04465/11/ja"
"特開2007-297605","特願2007-088759","2007/03/29","2007/11/15","メタン分離方法、メタン分離装置及びメタン利用システム","大陽日酸株式会社,公益財団法人地球環境産業技術研究機構","B01D19/00@H,B01D19/00,101,B01D53/14,103,B01D53/18@C,B01D53/18@G,B01D61/00,B01D63/02,B01D71/26,C10L3/00@B,C10L3/10,B01D53/14,220,B01D53/18,130,B01D53/18,170","(57)【要約】
【目的】高濃度の二酸化炭素を含有するバイオガスから<BR>メタンを高効率に分離精製可能なメタン分離方法、それ<BR>を用いたメタン分離装置、及びメタン利用システムを提<BR>供することを目的とする。
【構成】エジェクター等からなる混合器５でバイオガス<BR>と吸収液を気液混相状態に混合し、この混合液から第１<BR>気液分離器７によりメタンをほぼ完全に分離回収した後<BR>、膜モジュール１０にＣＯ２吸収液を供給して二酸化炭<BR>素を分離し、二酸化炭素分離後の吸収液を吸収液貯留槽<BR>１９に回収するので、吸収液の循環過程で効率的にメタ<BR>ンと二酸化炭素の分離を行い、高濃度の二酸化炭素を含<BR>有するバイオガスからメタンを高効率に分離精製でき、<BR>しかも低分離コストでバイオガス分離・濃縮を行うこと<BR>ができる。
【選択図】図１
","特開2007-297605","","特許5061328","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2007-297605/D6902F97E007BC4E6E4972397BAA0BA0CDA08C9CF50F474747DFDB414A99029B/11/ja"
"特開2007-296422","特願2006-123882","2006/04/27","2007/11/15","炭酸ガス吸収材、その製造方法および炭酸ガス吸収方法","株式会社村田製作所","B01D53/14@A,B01D53/34,135@Z,B01J20/06@D,B01J20/06@C,C01G49/00@C,C04B35/00@H,C04B35/00@V,B01D53/14,100,B01D53/62,B01D53/81,B01D53/82,B01D53/92,240,B01D53/92,350,B01D53/92,352,B01D53/96,C04B35/622,040,C04B35/00,C04B35/01","(57)【要約】
【課題】約７００℃から約９００℃の温度域において炭<BR>酸ガスを吸収するとともに、常圧下において約９００℃<BR>以上で炭酸ガスを放出し、かつ、耐久性に優れた炭酸ガ<BR>ス吸収材、その製造方法および前記炭酸ガス吸収材を用<BR>いた炭酸ガスの吸収方法を提供する。
【解決手段】ＢａとＦｅのモル比が、Ｂａ：Ｆｅ＝０．<BR>８～１．２：１の範囲にある複合酸化物が主成分となる<BR>ようにする。
  また、主要な結晶相をＢａ2Ｆｅ2Ｏ5とする。
  また、炭酸ガス吸収材の原料の少なくとも一部として<BR>、バリウム鉄酸化物（バリウムフェライト）を含むセラ<BR>ミックス廃材を用いる。
  上述のような炭酸ガス吸収材を用い、７００～９００<BR>℃の温度条件下に炭酸ガスの吸収を行う。
【選択図】図２
","特開2007-296422","","特許5044973","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2007-296422/44292F1869B8ADD5287893CA48AE6FE81886C22A102B3C1282A5978E63FEC236/11/ja"
"特開2007-284273","特願2006-111303","2006/04/13","2007/11/01","ＣＯ２回収装置及びＣＯ２回収方法","三菱重工業株式会社,関西電力株式会社","B01D53/14,103,B01D53/34,135@Z,B01D53/34,C01B31/20@B,B01D53/14,220,B01D53/62,B01D53/78,B01D53/96,C01B32/50","(57)【要約】
【課題】エネルギー効率を一層向上させたＣＯ2回収装<BR>置及びＣＯ2回収方法を提供する。
【解決手段】ＣＯ2を除去する吸収塔と、ＣＯ2を吸収し<BR>たリッチ溶液を再生し飽和スチームにより熱交換する再<BR>生塔と、再生塔でＣＯ2を除去したリーン溶液を吸収塔<BR>で再利用するＣＯ2回収装置であって、前記再生塔が、<BR>前記再生塔内でＣＯ2を一部除去したセミリーン溶液を<BR>前記再生塔の上流側から抜き出して下流側に戻す第１の<BR>還流ラインに介装され、前記第１の還流ライン中のセミ<BR>リーン溶液をボイラ等の産業設備の煙道内の高温の排ガ<BR>スにより熱交換する排ガス熱交換器と、前記再生塔内で<BR>ＣＯ2を一部除去したセミリーン溶液を前記再生塔の上<BR>流側から抜き出して下流側に戻す第２の還流ラインに介<BR>装され、前記第２の還流ライン中のセミリーン溶液を前<BR>記リーン溶液の余熱により熱交換するリーン溶液熱交換<BR>器とを具備してなる。
【選択図】        図１
","特開2007-284273","","特許4773865","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2007-284273/8685BDEAE65CA6B8A986D6814EEF9779A66D65E5328CF92B6FDF4C4D3F0437A1/11/ja"
"特開2007-284272","特願2006-111302","2006/04/13","2007/11/01","ＣＯ２回収装置及びＣＯ２回収方法","三菱重工業株式会社,関西電力株式会社","B01D53/14,103,B01D53/34,135@Z,C01B31/20@B,B01D53/14,220,B01D53/62,B01D53/78,B01D53/79,B01D53/96,C01B32/50","(57)【要約】
【課題】ＣＯ2除去排ガスに同伴するＣＯ2吸収液の放出<BR>量を軽減しＣＯ2吸収液の回収効率を一層向上させたＣ<BR>Ｏ2回収装置及びＣＯ2回収方法を提供する。
【解決手段】ＣＯ2含有排ガスとＣＯ2吸収液とを接触さ<BR>せてＣＯ2を除去する吸収塔と、ＣＯ2を吸収したリッチ<BR>溶液を再生する再生塔と、前記再生塔でＣＯ2が除去さ<BR>れたリーン溶液を吸収塔で再利用するＣＯ2回収装置で<BR>あって、前記吸収塔がＣＯ2吸収液で排ガス中のＣＯ2を<BR>吸収するＣＯ2回収部と、ＣＯ2を除去したガスを冷却す<BR>ると共に、同伴するＣＯ2吸収液を回収する水洗部と、<BR>前記水洗部で凝縮されたＣＯ2吸収液を含む凝縮水を前<BR>記水洗部の頂部から直接循環する循環ラインと、前記再<BR>生塔から前記吸収塔へ前記リーン溶液を供給するリーン<BR>溶液供給管に前記ＣＯ2吸収液を含む凝縮水の余剰分を<BR>供給する余剰凝縮水供給ラインとを具備する。
【選択図】        図１
","特開2007-284272","","特許5232361","拒絶2012-000099","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2007-284272/355C692A3ADBFBD3B172E5CFBAADF49E63C3E50ECD8630165DBFC3B331BEC118/11/ja"
"特開2007-283267","特願2006-116299","2006/04/20","2007/11/01","ガス分離方法及び装置","関西電力株式会社,公益財団法人地球環境産業技術研究機構","B01D53/18@Z,B01D53/34,135@Z,B01D53/18,B01D53/62,B01D53/78,B01D53/96","(57)【要約】
【課題】化学吸収法の吸収工程において分離対象ガスを<BR>吸収液に吸収させる際に要するエネルギー、コストを低<BR>下させる。
【解決手段】膜モジュールからなる吸収装置１の膜に対<BR>して一方の側に被分離ガスを導入し、他の側に吸収液を<BR>流し、膜を介して被分離ガス中の分離対象ガスを吸収液<BR>に吸収させる。吸収装置１においてガスの流れと吸収液<BR>の流れの内少なくとも吸収液の流れを乱すようにしてあ<BR>る。分離対象ガスを吸収した液はポンプ２により熱交換<BR>器３を経由して再生塔４に導入する。再生塔４内では吸<BR>収液を加熱することにより分離対象ガスを放散させると<BR>ともに吸収液を再生する。放散した分離対象ガスは冷却<BR>して回収する。再生された吸収液は熱交換器３を経由し<BR>てポンプ７により送り、冷却後に吸収装置１に導入して<BR>循環使用する。
【選択図】図１
","特開2007-283267","","","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2007-283267/27F37ADB6866D409E06F284CF1837462A861ED3376FD4A48FFD1FDA15DB83E7E/11/ja"
"特開2007-278099","特願2006-102518","2006/04/03","2007/10/25","排ガスの浄化方法及び車両のコージェネレーション方法","トヨタ自動車株式会社","B01D53/34,135@A,B01D53/36,104@Z,B01J23/66@A,B01J23/84,311@A,B01J23/889@A,F01N3/02@D,F01N3/02@K,F01N3/10@A,F01N3/18@A,F01N3/20@N,F01N3/20@P,F01N3/24@E,F01N3/24@L,F01N5/02@C,F01N5/02@E,F01N5/02@J,F01N5/02@K,F02G5/04@H,F02G5/04@L,B01D53/62,100,B01D53/81,B01D53/82,B01D53/86,100,B01D53/86,245,B01D53/88,B01D53/92,242,B01D53/92,350,B01D53/92,352,B01D53/96,F01N3/02,101@D,F01N3/02,101@K","(57)【要約】
【課題】高い浄化率を維持できる排ガスの浄化方法、及<BR>び該排ガスの浄化方法によって回収したエネルギーを効<BR>率的に利用できる車両のコージェネレーション方法を提<BR>供すること。
【解決手段】触媒の床温が２５０℃～３００℃の温度域<BR>外となるように温度制御を行い、一酸化炭素を含む排ガ<BR>スを前記触媒に接触させて酸化的に浄化する排ガスの浄<BR>化方法である。また、この排ガスの浄化方法において回<BR>収した触媒からの排熱を、空調、ライトの点灯又はバッ<BR>テリーの充電に用いる車両のコージェネレーション方法<BR>である。
【選択図】図３
","特開2007-278099","","","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2007-278099/3DA78CD06E028D73FAC65080BA61637101FF923B7E199055C3E7FD9B92364F7B/11/ja"
"特表2009-534168","特願2009-503670","2006/11/21","2007/10/18","ゼロエミッション装置","スイ、シー・チュン","B01D53/34,135@Z,B01D53/34,B01D53/62,B01D53/78","(57)【要約】
  ＺＥＤ（ゼロエミッション装置）は純酸素供給システ<BR>ムを有し、そこで、液体酸素が、熱交換した後に、燃焼<BR>炉１３へポンプで送られ、燃料を燃焼し、タービンを通<BR>過するその後の高温ガスを生成する。冷媒で最終的に冷<BR>却された結果として、その後のガスは特別のチャンバー<BR>を通過し、そこで吸収溶液が孔あけ床を通って特別なチ<BR>ャンバーへと下方に吸引され、その後のガスは吸収溶液<BR>（たとえば、石油やアルコール)に吸収される。よって<BR>、二酸化炭素と水は、指定した目的のために吸収溶液中<BR>で排出される。ＺＥＤはまた、ＣＯ２を廃棄する補助部<BR>品を含む。
【選択図】図４
","特表2009-534168","","","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2009-534168/71CD833028BC0575337FFFA5C4E1A69AB8F8AB7BA1EC24DB21E8E4849D3C064C/11/ja"
