"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特表2013-529545","特願2013-516742","2011/06/22","2011/12/29","燃焼排ガスの浄化及び再生利用システム及びその方法","チャン，バオカン,チャン，シャオキン","B01D53/34,128,B01D53/34,132@Z,B01D53/34,134@A,B01D53/34,134@C,B01D53/34,135@Z,B01D53/34,B01D53/54,B01D53/60,B01D53/62,B01D53/68,100,B01D53/68,200,B01D53/73,B01D53/76,B01D53/81","(57)【要約】
  燃焼排ガスの浄化システムは、燃焼排ガス循環システ<BR>ム、反応器、少なくとも一つの触媒吸収剤を含む吸収剤<BR>追加システムを含み、触媒吸収剤は、均質な気相－気相<BR>反応方法で、反応器内の燃焼排ガスと反応させるために<BR>ガス化されている。従って、浄化システムは、効果的に<BR>燃焼排ガスを浄化するように効果的に汚染物質を除去す<BR>るために、燃焼排ガス及び触媒吸収剤（好ましくは、ア<BR>ンモニア）の汚染物質間の、高速の反応速度を有する。
【選択図】図１
","特表2013-529545","","","拒絶2016-006680","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2013-529545/723AD744716C2CA55A79C7FF009B485E470983BA1A6DB4A5A969F1CD0A1E106C/11/ja"
"特表2013-534504","特願2013-514553","2010/06/17","2011/12/22","液体二酸化炭素を使用して二酸化炭素を精製するための方法および装置","ユニオン・エンジニアリング・エー／エス","B01D53/14,102,B01D53/18@Z,C01B31/20@B,B01D53/14,210,B01D53/18,B01D53/14,200,C01B32/50","(57)【要約】
  本発明は、二酸化炭素を実質的に含む気体または液体<BR>流から汚染物質を除去するための、改善された方法に関<BR>する。より具体的には、この方法は、吸収剤が液体二酸<BR>化炭素である吸収工程、またはリボイラー内の２つの流<BR>れの間に圧力差を発生させるための圧縮手段を利用する<BR>ことによって二酸化炭素の廃棄物が最小限に抑えられる<BR>精留工程に、気体または液体流を供する工程を含む。
【選択図】図１
","特表2013-534504","","特許5795366","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2013-534504/CC8C0A4509679CE726C03CAA771B41E0AAC79F3156E0F676ED9B829BCFCFF124/11/ja"
"特開2011-255376","特願2011-166357","2011/07/29","2011/12/22","二酸化炭素の吸着分離方法","東ソー株式会社","B01D53/02@Z,B01D53/04@B,B01D53/04@F,B01D53/34,135@Z,B01J20/20@B,B01J20/30,B01J20/34@E,B01J20/34@H,C01B31/20@B,B01D53/02,B01D53/04,220,B01D53/047,B01D53/62,B01D53/81,B01D53/96,C01B32/50","(57)【要約】
【課題】本発明の目的は、例えば空気を低温で分離する深冷分離法において、工程上の不<BR>都合な成分として除去されるべき二酸化炭素を原料である空気などの混合ガスから吸着除<BR>去する方法を提供することである。
【解決手段】二酸化炭素と二酸化炭素より極性の低いガスを含む２種以上の成分からなる<BR>混合ガスをゼオライト吸着剤と接触させて二酸化炭素を吸着分離する方法において、前記<BR>ゼオライト吸着剤と前記混合ガスを接触させる時の二酸化炭素の分圧が０．１～５０ｍｍ<BR>Ｈｇの範囲であって、前記ゼオライト吸着剤はＳｉＯ２／Ａｌ２Ｏ３モル比が１．９～２<BR>．１の低シリカＸ型ゼオライトで、かつ低シリカＸ型ゼオライトの含有率が９５％以上で<BR>あり、、篩い分けにより測定のため粒子径を１．４～１．７ｍｍに揃えたときの当該低シ<BR>リカＸ型ゼオライト成形体の平均耐圧強度が１．０ｋｇｆ以上１．７ｋｇｆ以下であり、<BR>且つ、マクロ細孔容積が０．２５ｃｃ／ｇ以上０．２７ｃｃ／ｇ以下である低シリカＸ型<BR>ゼオライト成形体であることを特徴とする二酸化炭素の吸着分離方法。
【選択図】    なし
","特開2011-255376","","特許5375890","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2011-255376/1F5D068B3608ED819A35637029DD58F8E7B2372A75D22A5AA2114F3893E50B76/11/ja"
"再表2011/155058","特願2012-519187","2010/06/11","2011/12/15","ガス分離装置","エネルギープロダクト　株式会社","B01D53/04@B,B01D53/34,135@Z,C10L3/00@B,C10L3/10,B01D53/047,B01D53/62,B01D53/81,B01D53/82,B01D53/96","(57)【要約】
  構成機器を従来よりも削減しつつ、混合ガスから特定<BR>成分を効率的に分離するガス分離装置を提供することを<BR>課題とする。複数の成分で構成される混合ガスから特定<BR>成分を分離するガス分離装置１であって、混合ガス中の<BR>特定成分を吸着する、伝熱管を内包する複数の吸着塔２<BR>Ａ，Ｂと、複数の吸着塔２Ａ，Ｂのうち吸着中の吸着塔<BR>２Ａの伝熱管と再生中の吸着塔２Ｂの伝熱管との間で熱<BR>媒体を循環させる熱媒循環経路３と、を備え、熱媒循環<BR>経路３は、少なくとも外気温よりも温度が高くなる吸着<BR>中の吸着塔２Ａの吸着熱を熱媒体で再生中の吸着塔２Ｂ<BR>へ移送し、再生中の吸着塔２Ｂは、少なくとも吸着中の<BR>吸着塔２Ａよりも低い圧力且つ外気温度以下で再生する<BR>と共に、再生中の吸着塔２Ｂの外側の外気と熱交換する<BR>。
","WO2011/155058","","特許5669835","","再表2011/155058","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2011-155058/3188B5A2E870E1367B1C0DEF4DACCA0B5DACCF779F1780A6401F395228457038/19/ja"
"特表2013-533108","特願2013-513712","2011/06/10","2011/12/15","ＣＯ２リッチな流れを乾燥して圧縮するプロセスおよび装置","レール・リキード－ソシエテ・アノニム・プール・レテュード・エ・レクスプロワタシオン・デ・プロセデ・ジョルジュ・クロード","B01D53/26,102,B01D53/26@A,B01D53/34,125@N,B01D53/34,127@C,B01D53/34,130@D,B01D53/34,134@A,B01D53/34,135@Z,B01D61/00,500,B01D61/36,C01B31/20@B,B01D53/26,100,B01D53/26,300,B01D53/50,260,B01D53/52,200,B01D53/56,200,B01D53/62,B01D53/68,100,B01D53/78,B01D53/96,C01B32/50","(57)【要約】
  水を含むＣＯ２リッチな流体を圧縮するための方法に<BR>おいて、ＣＯ２リッチな流体がコンプレッサー（５）内<BR>で圧縮され、この圧縮ステップの上流で、不凍剤が水を<BR>含むＣＯ２リッチな流体と混合され、この不凍剤を含む<BR>ＣＯ２リッチな流体が冷却され、水が冷却された流体か<BR>ら分離され、水が枯渇された冷却された流体がコンプレ<BR>ッサー内で圧縮され、水を含むＣＯ２リッチな流体が洗<BR>浄カラム（３）へ送られて水／不凍剤混合物（５３）と<BR>ともに供給されてそこで冷却して水から分離され、水が<BR>枯渇された冷却された流体がカラムの頂部から抽出され<BR>、洗浄カラム内の水／不凍剤混合物が頂部の下方の部位<BR>で抽出され、この混合物が冷却され、この混合物が底部<BR>リボイラー（９５）を有する精製カラム（８９）内にお<BR>ける蒸留によって精製され、水および不凍剤を含む液体<BR>が精製カラムの底部から抽出され、この液体が洗浄カラ<BR>ムの頂部へ戻され、そして、底部リボイラーによる再沸<BR>騰の割合が、洗浄カラムの冷却セクション（Ｅ、Ｆ）に<BR>供給する液体（４１、５３、１１５）の不凍剤含有量、<BR>或いは精製カラムの底部から抽出された液体の不凍剤含
","特表2013-533108","","","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2013-533108/FF55A3F09464D94E63B9FB56B86E31295586E5E37E6D9E63F21EEB904153E176/11/ja"
"特開2011-251240","特願2010-126195","2010/06/01","2011/12/15","物理吸収法によるガス分離方法","ＪＦＥスチール株式会社,独立行政法人産業技術総合研究所","B01D53/14@C,C01B31/20@B,C10K3/00,B01D53/14,200,C01B32/50","(57)【要約】
【課題】物理吸収法により低圧の混合ガスから低コスト<BR>に二酸化炭素を分離回収することができるガス分離方法<BR>を提供する。
【解決手段】二酸化炭素を含む混合ガスを吸収塔に導入<BR>して吸収液と接触させ、混合ガス中の二酸化炭素を吸収<BR>液に吸収させることにより、混合ガスから二酸化炭素の<BR>一部を分離回収するに際し、ガス圧力が３００ｋＰaＧ<BR>以下の混合ガスを、混合ガスに対する吸収液の割合３０<BR>０vol％以下の条件で吸収液と接触させ、混合ガス中の<BR>二酸化炭素の７０vol％以下を分離回収する。ある限定<BR>的なガス圧力（低圧領域）、混合ガスに対する吸収液の<BR>割合及び二酸化炭素回収率の範囲で操業を行うことによ<BR>り、ランニングコストを大きく低減できる。また、イオ<BR>ン液体を主成分とする吸収液を用いた場合に、特に顕著<BR>なランニングコストの低減効果を得ることができる。
【選択図】図１
","特開2011-251240","","特許5652905","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2011-251240/54CC865C35EA87CD424181590FC7766A07680428A0BF3AB67443162D09DD4806/11/ja"
"特開2011-251220","特願2010-125372","2010/05/31","2011/12/15","混合ガスの成分分離回収方法およびその装置","ＪＦＥスチール株式会社,独立行政法人産業技術総合研究所","B01D53/14@C,B01D53/14,103,B01D53/34,135@Z,C01B31/20@B,B01D53/14,200,B01D53/14,220,B01D53/62,B01D53/78,B01D53/96,C01B32/50","(57)【要約】
【課題】吸収液による二酸化炭素の回収効率を高めると<BR>ともに、ガス分離に必要となる全てのエネルギーを考慮<BR>し、そのエネルギーを総合的に低減するための、具体的<BR>な方途を与える。
【解決手段】（１）所定圧力下において、前記混合ガス<BR>を、物理吸収液と化学吸収液との混合吸収液に接触させ<BR>て前記混合ガス中の二酸化炭素を前記混合吸収液中に吸<BR>収させる工程、（２）前記二酸化炭素を吸収した混合吸<BR>収液を前記所定圧力より低い減圧下に置いて、該混合吸<BR>収液に含まれる二酸化炭素を回収すると共に、該混合吸<BR>収液に含まれる圧力エネルギーを回収する工程、（３）<BR>前記減圧下での二酸化炭素回収を経た混合吸収液を加熱<BR>し、該混合吸収液中に残存する二酸化炭素を放出させて<BR>回収すると共に、該混合吸収液に含まれる熱エネルギー<BR>を回収する工程、にて二酸化炭素を含む混合ガスから該<BR>二酸化炭素を分離回収する。
【選択図】図１
","特開2011-251220","","特許5656244","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2011-251220/3CB4ABCBA73B0B3D7A138B52574F32E7A033B5D6181C70822062B107D02EA67D/11/ja"
"再表2011/152552","特願2012-518482","2011/05/31","2011/12/08","排ガス処理システム及び方法","三菱重工業株式会社","B01D53/14,103,B01D53/18@E,B01D53/34,125@E,B01D53/34,129@Z,B01D53/34,135@Z,B01D53/14,220,B01D53/18,150,B01D53/50,245,B01D53/56,B01D53/62,B01D53/75,B01D53/78,B01D53/79,B01D53/80,B01D53/96","(57)【要約】
ボイラ１１からの排ガス１２中の硫黄酸化物を除去する<BR>脱硫装置１５と、脱硫装置１５の後流側に設けられ、排<BR>ガス中に残存する硫黄酸化物を除去すると共に、ガス温<BR>度を下げる冷却塔１６と、前記排ガス中のＣＯ２をＣＯ<BR>２吸収液に接触させて除去する吸収塔と、ＣＯ２吸収液<BR>からＣＯ２を放出してＣＯ２を回収すると共に、ＣＯ２<BR>吸収液を再生する再生塔とからなるＣＯ２回収装置１７<BR>と、前記電気集塵機の入口通路側に設けられ、排ガス温<BR>度を降下させる熱交換器３３とを具備し、排ガス中のミ<BR>スト発生物質をガス状態からミスト状態に転換し、排ガ<BR>ス１２中の煤塵にミスト状態のミスト発生物質を捕集・<BR>除去してなる。
","WO2011/152552","","","","再表2011/152552","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2011-152552/C2144FB6BAD8D0770499D279A9A382C1EEB55EE91B98D5A95912BD040890F168/19/ja"
"再表2011/152551","特願2012-518481","2011/05/31","2011/12/08","排ガス処理システム及び方法","三菱重工業株式会社","B01D53/14,103,B01D53/34,125@E,B01D53/34,129@Z,B01D53/34,135@Z,B01D53/34,B01D53/14,220,B01D53/50,245,B01D53/56,B01D53/62,B01D53/75,B01D53/78,B01D53/79,B01D53/80,B01D53/96","(57)【要約】
ボイラ１１からの排ガス１２中の硫黄酸化物を除去する<BR>脱硫装置１５と、脱硫装置１５の後流側に設けられ、排<BR>ガス中に残存する硫黄酸化物を除去すると共に、ガス温<BR>度を下げる冷却塔１６と、前記排ガス中のＣＯ２をＣＯ<BR>２吸収液に接触させて除去する吸収塔と、ＣＯ２吸収液<BR>からＣＯ２を放出してＣＯ２を回収すると共に、ＣＯ２<BR>吸収液を再生する再生塔とからなるＣＯ２回収装置１７<BR>と、前記脱硫装置の入口通路側に設けられ、排ガス温度<BR>を降下させる熱交換器３２と、炭酸カルシウムを熱交換<BR>器３２と電気集塵機１４との間に噴霧する炭酸カルシウ<BR>ム噴霧装置３１とを具備し、排ガス中のミスト発生物質<BR>をガス状態からミスト状態に転換し、炭酸カルシウムに<BR>よりミスト状態のミスト発生物質を捕集・除去してなる<BR>。
","WO2011/152551","","","","再表2011/152551","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2011-152551/09ED7FF8794CB474395A4EC225E0BCB3C2006E42FF526275A5F8B6E48AE6C2D8/19/ja"
"再表2011/152550","特願2012-518480","2011/05/31","2011/12/08","排ガス処理システム及び方法","三菱重工業株式会社","B01D53/14,103,B01D53/34,122@Z,B01D53/34,125@E,B01D53/34,129@B,B01D53/34,135@Z,B01D53/34,C01B31/20@B,B01D53/14,220,B01D53/50,B01D53/50,245,B01D53/56,300,B01D53/62,B01D53/78,B01D53/79,B01D53/80,B01D53/96,C01B32/50","(57)【要約】
ボイラ１１からの排ガス１２中の硫黄酸化物を除去する<BR>脱硫装置１５と、脱硫装置１５の後流側に設けられ、排<BR>ガス中に残存する硫黄酸化物を除去すると共に、ガス温<BR>度を下げる冷却塔１６と、前記排ガス中のＣＯ２をＣＯ<BR>２吸収液に接触させて除去する吸収塔と、ＣＯ２吸収液<BR>からＣＯ２を放出してＣＯ２を回収すると共に、ＣＯ２<BR>吸収液を再生する再生塔とからなるＣＯ２回収装置１７<BR>と、ＣＯ２回収装置に排ガスを導入する以前において、<BR>ＣＯ２回収装置の吸収塔内で発生するミストの発生源で<BR>あるミスト発生物質を除去する湿式電気集塵機２５とを<BR>具備する。
","WO2011/152550","","","","再表2011/152550","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2011-152550/933885A62748DEDAA5F8EC9DEB09B198D661650E6CDC6986D548E194BBF9F716/19/ja"
